,sound,condition,response,predictability,sentences,response_words,sentence_words,word_count
187,6,b,the bomb exploded with a blast,(H),the boy gave the football a kick.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",2
186,6,b,a boy ate a football cake,(H),the boy gave the football a kick.,"['a', 'boy', 'ate', 'a', 'football', 'cake']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",4
185,6,b,lubricate the bike with grease,(H),the boy gave the football a kick.,"['lubricate', 'the', 'bike', 'with', 'grease']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",1
184,6,a,the boy gave the football a kick,(H),the boy gave the football a kick.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",7
183,6,a,the boy gave the football a kick,(H),the boy gave the football a kick.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",7
182,6,a,the boy gave the football the cake.,(H),the boy gave the football a kick.,"['the', 'boy', 'gave', 'the', 'football', 'the', 'cake', '.']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",7
180,6,a,the boy gave the football a kick,(H),the boy gave the football a kick.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",7
181,6,a,the boy gave the football a kick.,(H),the boy gave the football a kick.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']","['the', 'boy', 'gave', 'the', 'football', 'a', 'kick', '.']",8
269,7,b,i cant guess so give me a hint,(L),bill might discuss the foam.,"['i', 'cant', 'guess', 'so', 'give', 'me', 'a', 'hint']","['bill', 'might', 'discuss', 'the', 'foam', '.']",0
268,7,b,lubricate the bike with grease,(L),bill might discuss the foam.,"['lubricate', 'the', 'bike', 'with', 'grease']","['bill', 'might', 'discuss', 'the', 'foam', '.']",1
267,7,b,tom could not discuss the bark,(L),bill might discuss the foam.,"['tom', 'could', 'not', 'discuss', 'the', 'bark']","['bill', 'might', 'discuss', 'the', 'foam', '.']",2
261,7,a,we might discuss the phone.,(L),bill might discuss the foam.,"['we', 'might', 'discuss', 'the', 'phone', '.']","['bill', 'might', 'discuss', 'the', 'foam', '.']",4
266,7,b,will my discuss the phone,(L),bill might discuss the foam.,"['will', 'my', 'discuss', 'the', 'phone']","['bill', 'might', 'discuss', 'the', 'foam', '.']",2
265,7,b,nancy could consider the fist,(L),bill might discuss the foam.,"['nancy', 'could', 'consider', 'the', 'fist']","['bill', 'might', 'discuss', 'the', 'foam', '.']",1
264,7,a,will might discuss the foam,(L),bill might discuss the foam.,"['will', 'might', 'discuss', 'the', 'foam']","['bill', 'might', 'discuss', 'the', 'foam', '.']",4
263,7,a,bill might discuss the foam,(L),bill might discuss the foam.,"['bill', 'might', 'discuss', 'the', 'foam']","['bill', 'might', 'discuss', 'the', 'foam', '.']",5
260,7,a,bill might discuss the foam,(L),bill might discuss the foam.,"['bill', 'might', 'discuss', 'the', 'foam']","['bill', 'might', 'discuss', 'the', 'foam', '.']",5
262,7,a,mel might discuss the phone.,(L),bill might discuss the foam.,"['mel', 'might', 'discuss', 'the', 'phone', '.']","['bill', 'might', 'discuss', 'the', 'foam', '.']",4
229,8,b,the old man thinks about the mast,(H),the cop wore a bullet-proof vest.,"['the', 'old', 'man', 'thinks', 'about', 'the', 'mast']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",2
222,8,a,the cupboard was bulled split fast.,(H),the cop wore a bullet-proof vest.,"['the', 'cupboard', 'was', 'bulled', 'split', 'fast', '.']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",2
223,8,a,the cop wore a bulletproof vest,(H),the cop wore a bullet-proof vest.,"['the', 'cop', 'wore', 'a', 'bulletproof', 'vest']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",5
224,8,a,the cop wore a bulletproof west,(H),the cop wore a bullet-proof vest.,"['the', 'cop', 'wore', 'a', 'bulletproof', 'west']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",4
226,8,b,the coke bottle proof about guest,(H),the cop wore a bullet-proof vest.,"['the', 'coke', 'bottle', 'proof', 'about', 'guest']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",1
227,8,b,after his bath he wore a robe,(H),the cop wore a bullet-proof vest.,"['after', 'his', 'bath', 'he', 'wore', 'a', 'robe']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",2
228,8,b,anne was interested in the breath,(H),the cop wore a bullet-proof vest.,"['anne', 'was', 'interested', 'in', 'the', 'breath']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",1
221,8,a,the cop wore bulletproof vest.,(H),the cop wore a bullet-proof vest.,"['the', 'cop', 'wore', 'bulletproof', 'vest', '.']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",5
220,8,a,the cop wore a bulletproof west,(H),the cop wore a bullet-proof vest.,"['the', 'cop', 'wore', 'a', 'bulletproof', 'west']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",4
225,8,b,nancy had considered the sleeves,(H),the cop wore a bullet-proof vest.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['the', 'cop', 'wore', 'a', 'bullet-proof', 'vest', '.']",1
134,9,a,tom could not discuss the barn,(L),tom could not discuss the barn.,"['tom', 'could', 'not', 'discuss', 'the', 'barn']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",6
130,9,a,tom could not discuss the barn,(L),tom could not discuss the barn.,"['tom', 'could', 'not', 'discuss', 'the', 'barn']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",6
131,9,a,tom could not discuss the barn.,(L),tom could not discuss the barn.,"['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",7
132,9,a,not discuss the burn.,(L),tom could not discuss the barn.,"['not', 'discuss', 'the', 'burn', '.']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",4
133,9,a,thom could not discuss the barn,(L),tom could not discuss the barn.,"['thom', 'could', 'not', 'discuss', 'the', 'barn']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",5
135,9,b,the cop wore a bullet proof vest,(L),tom could not discuss the barn.,"['the', 'cop', 'wore', 'a', 'bullet', 'proof', 'vest']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",1
137,9,b,i have spoken about the pile,(L),tom could not discuss the barn.,"['i', 'have', 'spoken', 'about', 'the', 'pile']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",1
138,9,b,the cop wore a bulletproof vest,(L),tom could not discuss the barn.,"['the', 'cop', 'wore', 'a', 'bulletproof', 'vest']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",1
139,9,b,the boy gave the football a kick,(L),tom could not discuss the barn.,"['the', 'boy', 'gave', 'the', 'football', 'a', 'kick']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",2
136,9,b,tom could not discuss the bomb,(L),tom could not discuss the barn.,"['tom', 'could', 'not', 'discuss', 'the', 'bomb']","['tom', 'could', 'not', 'discuss', 'the', 'barn', '.']",5
29,n-1,b,mary could not have discussed the tac,(H),a rose bush has prickly thorns.,"['mary', 'could', 'not', 'have', 'discussed', 'the', 'tac']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
28,n-1,b,the bomb exploded in a blast.,(H),a rose bush has prickly thorns.,"['the', 'bomb', 'exploded', 'in', 'a', 'blast', '.']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",2
21,n-1,a,the words can't...,(H),a rose bush has prickly thorns.,"['the', 'words', 'ca', 'not', None]","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
22,n-1,a,the road,(H),a rose bush has prickly thorns.,"['the', 'road']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
23,n-1,a,a rose bush has prickly thorns,(H),a rose bush has prickly thorns.,"['a', 'rose', 'bush', 'has', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",6
20,n-1,a,the roses bushes quickly thorns,(H),a rose bush has prickly thorns.,"['the', 'roses', 'bushes', 'quickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
25,n-1,b,the bomb exploded with a blast,(H),a rose bush has prickly thorns.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",1
26,n-1,b,,(H),a rose bush has prickly thorns.,[],"['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
27,n-1,b,mary could not discuss the tag,(H),a rose bush has prickly thorns.,"['mary', 'could', 'not', 'discuss', 'the', 'tag']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",0
24,n-1,a,a real special prickley thornes,(H),a rose bush has prickly thorns.,"['a', 'real', 'special', 'prickly', 'thorns']","['a', 'rose', 'bush', 'has', 'prickly', 'thorns', '.']",3
278,n-17,b,roof hopes he heard about the hips,(H),the bomb exploded with a blast.,"['roof', 'hopes', 'he', 'heard', 'about', 'the', 'hips']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
270,n-17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
271,n-17,a,the bomb exploded with a blast.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",7
272,n-17,a,the bomb exploded the burst.,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'the', 'burst', '.']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",5
273,n-17,a,the bomb exploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
274,n-17,a,the bomb eksploded with a blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",6
275,n-17,b,anne was interested with the breath,(H),the bomb exploded with a blast.,"['anne', 'was', 'interested', 'with', 'the', 'breath']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",2
277,n-17,b,they marched to the beat of the drum,(H),the bomb exploded with a blast.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",2
279,n-17,b,this nosel sprays a fine mist,(H),the bomb exploded with a blast.,"['this', 'nose', 'sprays', 'a', 'fine', 'mist']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",1
276,n-17,b,the bomb explored with blast,(H),the bomb exploded with a blast.,"['the', 'bomb', 'explored', 'with', 'blast']","['the', 'bomb', 'exploded', 'with', 'a', 'blast', '.']",4
127,n-18,b,ann was interested in the breath,(L),mary could not discuss the tack.,"['ann', 'was', 'interested', 'in', 'the', 'breath']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",1
126,n-18,b,marry could not discuss the tax,(L),mary could not discuss the tack.,"['marry', 'could', 'not', 'discuss', 'the', 'tax']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
125,n-18,b,the rose bush has prickly thorns,(L),mary could not discuss the tack.,"['the', 'rose', 'bush', 'has', 'prickly', 'thorns']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",1
124,n-18,a,marry could not discuss the tag,(L),mary could not discuss the tack.,"['marry', 'could', 'not', 'discuss', 'the', 'tag']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
123,n-18,a,mary could not discuss the tech,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'tech']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
122,n-18,a,mary could not discuss the tag.,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'tag', '.']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",6
121,n-18,a,mary could not discuss attack,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'attack']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
120,n-18,a,mary could not discuss the tax,(L),mary could not discuss the tack.,"['mary', 'could', 'not', 'discuss', 'the', 'tax']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",5
128,n-18,b,they marched to the beat of the drum,(L),mary could not discuss the tack.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",2
129,n-18,b,tom could not discuss the bar,(L),mary could not discuss the tack.,"['tom', 'could', 'not', 'discuss', 'the', 'bar']","['mary', 'could', 'not', 'discuss', 'the', 'tack', '.']",4
239,n-19,b,jane has a problem with the coin,(L),they have a problem with the limb.,"['jane', 'has', 'a', 'problem', 'with', 'the', 'coin']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",4
230,n-19,a,they have a problem with the lint,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'the', 'lint']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",6
231,n-19,a,they have a problem with the limb.,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",8
232,n-19,a,they have a problem with a rince.,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'a', 'since', '.']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",7
233,n-19,a,they have a problem with the limbs,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'the', 'limbs']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",6
237,n-19,b,tom will discuss the swan,(L),they have a problem with the limb.,"['tom', 'will', 'discuss', 'the', 'swan']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",1
235,n-19,b,they have a problem with the linen,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'the', 'linen']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",6
236,n-19,b,they have a problem with a lin,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'a', 'lin']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",6
238,n-19,b,this nossle spray is a fine mist,(L),they have a problem with the limb.,"['this', 'nose', 'spray', 'is', 'a', 'fine', 'mist']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",1
234,n-19,a,they have a problem with a limb,(L),they have a problem with the limb.,"['they', 'have', 'a', 'problem', 'with', 'a', 'limb']","['they', 'have', 'a', 'problem', 'with', 'the', 'limb', '.']",7
30,n-2,a,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
39,n-2,b,the bomb exploded with a blast,(L),we should have considered the juice.,"['the', 'bomb', 'exploded', 'with', 'a', 'blast']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",1
32,n-2,a,we should consider the juice.,(L),we should have considered the juice.,"['we', 'should', 'consider', 'the', 'juice', '.']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",5
38,n-2,b,a rosebush has pricky thorns,(L),we should have considered the juice.,"['a', 'rosebush', 'has', 'prick', 'thorns']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",0
37,n-2,b,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
36,n-2,b,we should consider the juice,(L),we should have considered the juice.,"['we', 'should', 'consider', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",4
35,n-2,b,mary could not discuss the tax,(L),we should have considered the juice.,"['mary', 'could', 'not', 'discuss', 'the', 'tax']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",1
34,n-2,a,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
33,n-2,a,we should have considered the juice,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'the', 'juice']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",6
31,n-2,a,we should have considered to choose.,(L),we should have considered the juice.,"['we', 'should', 'have', 'considered', 'to', 'choose', '.']","['we', 'should', 'have', 'considered', 'the', 'juice', '.']",5
62,n-20,a,nancy had considered the series.,(L),nancy had considered the sleeves.,"['nancy', 'had', 'considered', 'the', 'series', '.']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",5
69,n-20,b,ruth hope she heard about the hip,(L),nancy had considered the sleeves.,"['ruth', 'hope', 'she', 'heard', 'about', 'the', 'hip']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",1
68,n-20,b,tom is talking about the fee,(L),nancy had considered the sleeves.,"['tom', 'is', 'talking', 'about', 'the', 'fee']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",1
67,n-20,b,tom is talking about the fee,(L),nancy had considered the sleeves.,"['tom', 'is', 'talking', 'about', 'the', 'fee']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",1
66,n-20,b,nancy has considered the sleeve ,(L),nancy had considered the sleeves.,"['nancy', 'has', 'considered', 'the', 'sleeve']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",3
65,n-20,b,the soup was served in a bowl,(L),nancy had considered the sleeves.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",1
60,n-20,a,nancy had concidered the sleeves,(L),nancy had considered the sleeves.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",5
64,n-20,a,nancy had considered the sleeves,(L),nancy had considered the sleeves.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",5
61,n-20,a,nancy could consider the sweeps.,(L),nancy had considered the sleeves.,"['nancy', 'could', 'consider', 'the', 'sweeps', '.']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",3
63,n-20,a,nancy had considered the sleeves,(L),nancy had considered the sleeves.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['nancy', 'had', 'considered', 'the', 'sleeves', '.']",5
170,n-21,a,....the bike that grease,(H),lubricate the bike with grease.					,"[None, 'the', 'bike', 'that', 'grease']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",3
179,n-21,b,the rose bush has prickly thorns,(H),lubricate the bike with grease.					,"['the', 'rose', 'bush', 'has', 'prickly', 'thorns']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",1
172,n-21,a,bards broke the bike with greece.,(H),lubricate the bike with grease.					,"['bards', 'broke', 'the', 'bike', 'with', 'greece', '.']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",4
173,n-21,a,lubricate the bike with grease,(H),lubricate the bike with grease.					,"['lubricate', 'the', 'bike', 'with', 'grease']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",5
174,n-21,a,caked the bike with grease,(H),lubricate the bike with grease.					,"['caked', 'the', 'bike', 'with', 'grease']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",4
175,n-21,b,bill might discuss the firs,(H),lubricate the bike with grease.					,"['bill', 'might', 'discuss', 'the', 'firs']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",1
176,n-21,b,     bike with ,(H),lubricate the bike with grease.					,"['bike', 'with']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",2
177,n-21,b,bob could have known about the spook,(H),lubricate the bike with grease.					,"['bob', 'could', 'have', 'known', 'about', 'the', 'spook']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",1
178,n-21,b,i have spoken about the pile,(H),lubricate the bike with grease.					,"['i', 'have', 'spoken', 'about', 'the', 'pile']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",1
171,n-21,a,you retrieve the bike with grace.,(H),lubricate the bike with grease.					,"['you', 'retrieve', 'the', 'bike', 'with', 'grace', '.']","['lubricate', 'the', 'bike', 'with', 'grease', '.']",4
70,n-22,a,the farmer harvested his crop,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crop']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",5
79,n-22,b,bob could have known about the spoon',(H),the farmer harvested his crop.	,"['bob', 'could', 'have', 'known', 'about', 'the', 'spoon', ""'""]","['the', 'farmer', 'harvested', 'his', 'crop', '.']",1
78,n-22,b,they have a problem with a limb,(H),the farmer harvested his crop.	,"['they', 'have', 'a', 'problem', 'with', 'a', 'limb']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",0
77,n-22,b,mary could not discuss the tac,(H),the farmer harvested his crop.	,"['mary', 'could', 'not', 'discuss', 'the', 'tac']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",1
76,n-22,b,the farmer harvested his crop,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crop']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",5
75,n-22,b,the sailor swabbed the deck,(H),the farmer harvested his crop.	,"['the', 'sailor', 'swabbed', 'the', 'deck']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",2
73,n-22,a,the farmer harvested his crop,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crop']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",5
72,n-22,a,the farmer harvested his crop.,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crop', '.']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",6
71,n-22,a,the farmer harvested his crop.,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crop', '.']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",6
74,n-22,a,the farmer harvested his crops,(H),the farmer harvested his crop.	,"['the', 'farmer', 'harvested', 'his', 'crops']","['the', 'farmer', 'harvested', 'his', 'crop', '.']",4
160,n-23,a,bill heard tom call about the coach,(L),bill heard tom called about the coach.,"['bill', 'heard', 'tom', 'call', 'about', 'the', 'coach']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",6
161,n-23,a,bill have told about the coach.,(L),bill heard tom called about the coach.,"['bill', 'have', 'told', 'about', 'the', 'coach', '.']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",5
162,n-23,a,bill had conclude about the coach.,(L),bill heard tom called about the coach.,"['bill', 'had', 'conclude', 'about', 'the', 'coach', '.']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",5
163,n-23,a,bill heard thom called about the coach,(L),bill heard tom called about the coach.,"['bill', 'heard', 'thom', 'called', 'about', 'the', 'coach']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",6
164,n-23,a,will heard tom call about the coach,(L),bill heard tom called about the coach.,"['will', 'heard', 'tom', 'call', 'about', 'the', 'coach']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",5
165,n-23,b,jane has a problem with the coin,(L),bill heard tom called about the coach.,"['jane', 'has', 'a', 'problem', 'with', 'the', 'coin']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",1
166,n-23,b,they'll have    about couch,(L),bill heard tom called about the coach.,"['they', 'all', 'have', 'about', 'couch']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",1
167,n-23,b,the soup was served in a bowl,(L),bill heard tom called about the coach.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",1
168,n-23,b,nancy should consider the feast,(L),bill heard tom called about the coach.,"['nancy', 'should', 'consider', 'the', 'feast']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",1
169,n-23,b,you were considering the gang,(L),bill heard tom called about the coach.,"['you', 'were', 'considering', 'the', 'gang']","['bill', 'heard', 'tom', 'called', 'about', 'the', 'coach', '.']",1
314,n-24,a,they marched to the beat of a drum,(H),they marched to the beat of the drum.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'a', 'drum']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",7
310,n-24,a,they marched to the beat of the drum,(H),they marched to the beat of the drum.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",8
311,n-24,a,they marched to the beet at the trunk.......,(H),they marched to the beat of the drum.,"['they', 'marched', 'to', 'the', 'beet', 'at', 'the', 'trunk', None]","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",5
319,n-24,b,nancy had considered the sleeves,(H),they marched to the beat of the drum.,"['nancy', 'had', 'considered', 'the', 'sleeves']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",1
318,n-24,b,the soup was served in a bowl,(H),they marched to the beat of the drum.,"['the', 'soup', 'was', 'served', 'in', 'a', 'bowl']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",1
317,n-24,b,the fruit was shipped in wooden crates,(H),they marched to the beat of the drum.,"['the', 'fruit', 'was', 'shipped', 'in', 'wooden', 'crates']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",1
316,n-24,b,they marched with the beat of drum,(H),they marched to the beat of the drum.,"['they', 'marched', 'with', 'the', 'beat', 'of', 'drum']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",6
315,n-24,b,ruth poured the water down the drain,(H),they marched to the beat of the drum.,"['ruth', 'poured', 'the', 'water', 'down', 'the', 'drain']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",2
312,n-24,a,they marched to beat the dram.,(H),they marched to the beat of the drum.,"['they', 'marched', 'to', 'beat', 'the', 'dram', '.']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",6
313,n-24,a,they marched to the beat of the drum,(H),they marched to the beat of the drum.,"['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum']","['they', 'marched', 'to', 'the', 'beat', 'of', 'the', 'drum', '.']",8
215,n-25,b,tom is talking about the fee,(H),no one was injured in the crash.,"['tom', 'is', 'talking', 'about', 'the', 'fee']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",1
216,n-25,b,no one is    the clash,(H),no one was injured in the crash.,"['no', 'one', 'is', 'the', 'clash']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",3
217,n-25,b,the farmer harvested his crop,(H),no one was injured in the crash.,"['the', 'farmer', 'harvested', 'his', 'crop']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",1
218,n-25,b,no one was inured in the crash,(H),no one was injured in the crash.,"['no', 'one', 'was', 'inured', 'in', 'the', 'crash']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",6
219,n-25,b,no one was injured in the crash,(H),no one was injured in the crash.,"['no', 'one', 'was', 'injured', 'in', 'the', 'crash']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",7
211,n-25,a,no one was injured in the crush.,(H),no one was injured in the crash.,"['no', 'one', 'was', 'injured', 'in', 'the', 'crush', '.']","['no', 'one', 'was', 'injured', 'in', 'the', 'crash', '.']",7
